id,sg,baseline,fitness,pvalue,mean_sg,mean_pop,mean_cpm,size_sg,size_pop,size_cpm
R0,(TUMOR_STATUS=WITH TUMOR),complement,1.000000,0.000000,20.520000,24.102410,24.394137,25,332,307
R1,(MRNA_CLUSTER=5.0) & (MIRNA_CLUSTER=6.0) & (EXTRATHYROIDAL_EXTENSION=None),complement,0.999306,0.000694,22.217391,24.102410,24.242718,23,332,309
R2,(PATH_N_STAGE=N1b),complement,0.999304,0.000696,12.951220,24.102410,25.673540,41,332,291
R3,(TUMOR_STATUS=TUMOR FREE),complement,1.000000,0.000000,25.065292,24.102410,17.268293,291,332,41
R4,(PATH_N_STAGE=N1b) & (WGS_STATUS=No),complement,0.999374,0.000626,13.333333,24.102410,25.535836,39,332,293
R5,(MIRNA_CLUSTER=6.0) & (MRNA_CLUSTER=5.0),complement,0.999129,0.000871,27.620690,24.102410,23.357664,58,332,274
R6,(RISK_GROUP=Intermediate),complement,0.984686,0.015314,25.789474,24.102410,21.845070,190,332,142
R7,(RISK_GROUP=Intermediate) & (PATH_N_STAGE=N1b),complement,0.999776,0.000224,13.222222,24.102410,25.425676,36,332,296
R8,(MRNA_CLUSTER=5.0),complement,0.998006,0.001994,26.323944,24.102410,23.498084,71,332,261
R9,(HISTOLOGICAL_TYPE=Classical) & (PATH_N_STAGE=N1b),complement,0.999987,0.000013,12.483871,24.102410,25.299003,31,332,301
R10,(SEX=Male),complement,0.965256,0.034744,20.208791,24.102410,25.572614,91,332,241
