times,population,R0,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21
0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
125.0,0.9948979591836739,0.9827586206896555,0.9897959183673466,1.0,1.0,1.0,1.0,1.0,0.96875,1.0,1.0,1.0,1.0,0.9909090909090903,1.0,1.0,1.0,1.0,1.0,0.9923076923076923,1.0,1.0,1.0
269.0,0.9897959183673475,0.9827586206896555,0.9897959183673466,1.0,1.0,1.0,1.0,0.962962962962963,0.96875,1.0,1.0,1.0,0.9882352941176465,0.9909090909090903,1.0,1.0,1.0,1.0,0.98,0.9923076923076923,1.0,1.0,0.9922480620155038
289.0,0.9846938775510209,0.9827586206896555,0.9897959183673466,1.0,1.0,1.0,1.0,0.962962962962963,0.96875,1.0,1.0,0.9767441860465118,0.9882352941176465,0.9909090909090903,1.0,1.0,0.9583333333333331,1.0,0.98,0.9923076923076923,1.0,1.0,0.9844961240310078
394.0,0.9795918367346942,0.9827586206896555,0.9897959183673466,1.0,1.0,1.0,1.0,0.962962962962963,0.96875,1.0,1.0,0.9767441860465118,0.9764705882352942,0.9818181818181817,1.0,1.0,0.9166666666666667,1.0,0.98,0.9923076923076923,1.0,1.0,0.9767441860465118
404.0,0.9744897959183678,0.9827586206896555,0.9897959183673466,1.0,1.0,1.0,1.0,0.9259259259259257,0.96875,1.0,1.0,0.9767441860465118,0.9647058823529412,0.9818181818181817,1.0,1.0,0.9166666666666667,1.0,0.9600000000000003,0.9846153846153846,1.0,1.0,0.968992248062016
421.0,0.9693877551020412,0.9827586206896555,0.9795918367346934,1.0,1.0,1.0,1.0,0.888888888888889,0.96875,1.0,1.0,0.9767441860465118,0.9647058823529412,0.9818181818181817,1.0,1.0,0.9166666666666667,1.0,0.94,0.9846153846153846,1.0,1.0,0.9612403100775198
434.0,0.9642857142857149,0.9827586206896555,0.9693877551020403,1.0,1.0,1.0,1.0,0.888888888888889,0.96875,1.0,1.0,0.9767441860465118,0.9647058823529412,0.9818181818181817,1.0,1.0,0.9166666666666667,1.0,0.94,0.9846153846153846,1.0,1.0,0.9534883720930231
524.0,0.9591836734693882,0.9827586206896555,0.9693877551020403,1.0,1.0,1.0,1.0,0.888888888888889,0.96875,1.0,1.0,0.9767441860465118,0.9529411764705884,0.9818181818181817,0.9899999999999994,1.0,0.9166666666666667,1.0,0.94,0.9769230769230771,1.0,1.0,0.9457364341085275
528.0,0.9540816326530618,0.9827586206896555,0.9693877551020403,1.0,0.9924242424242423,1.0,1.0,0.8518518518518517,0.96875,1.0,1.0,0.9767441860465118,0.9411764705882347,0.9818181818181817,0.9899999999999994,1.0,0.9166666666666667,1.0,0.9200000000000002,0.9769230769230771,1.0,1.0,0.9379844961240315
530.0,0.9489795918367355,0.9827586206896555,0.9693877551020403,1.0,0.9924242424242423,1.0,1.0,0.8518518518518517,0.96875,1.0,1.0,0.9767441860465118,0.9294117647058822,0.972727272727272,0.9899999999999994,1.0,0.9166666666666667,1.0,0.9200000000000002,0.9692307692307695,1.0,1.0,0.9302325581395349
649.0,0.9438775510204082,0.9827586206896555,0.9693877551020403,1.0,0.9848484848484849,1.0,1.0,0.8518518518518517,0.96875,1.0,1.0,0.9767441860465118,0.9176470588235291,0.972727272727272,0.98,1.0,0.8749999999999999,1.0,0.9,0.9615384615384621,1.0,1.0,0.9224806201550392
