times,population,R0,R1,R2
0.0,1.0,1.0,1.0,1.0
4.0,0.9965217391304348,1.0,0.982608695652174,1.0
6.0,0.9930434782608696,1.0,0.9652173913043475,1.0
7.0,0.9860869565217385,1.0,0.9304347826086952,1.0
8.0,0.9843478260869565,1.0,0.9217391304347823,1.0
9.0,0.982608695652174,1.0,0.9130434782608692,1.0
10.0,0.9773913043478256,1.0,0.88695652173913,1.0
11.0,0.9739130434782604,1.0,0.8695652173913047,1.0
12.0,0.9704347826086953,1.0,0.8521739130434784,1.0
14.0,0.9634782608695651,1.0,0.8173913043478259,1.0
15.0,0.9599999999999994,1.0,0.8,1.0
18.0,0.9582608695652175,1.0,0.7913043478260866,1.0
19.0,0.9547826086956518,1.0,0.7739130434782606,1.0
20.0,0.9530434782608697,1.0,0.7652173913043481,1.0
21.0,0.9495652173913042,1.0,0.7478260869565213,1.0
22.0,0.9460869565217386,1.0,0.7304347826086954,1.0
23.0,0.9373913043478262,1.0,0.6869565217391304,1.0
24.0,0.9339130434782609,1.0,0.6695652173913045,1.0
25.0,0.932173913043478,1.0,0.6608695652173913,1.0
26.0,0.9252173913043478,1.0,0.6260869565217391,1.0
28.0,0.923478260869565,1.0,0.6173913043478261,1.0
29.0,0.9217391304347823,1.0,0.6086956521739132,1.0
30.0,0.9182608695652171,1.0,0.5913043478260871,1.0
31.0,0.9147826086956522,1.0,0.5739130434782606,1.0
32.0,0.9113043478260866,1.0,0.5565217391304346,1.0
33.0,0.9095652173913045,1.0,0.5478260869565216,1.0
34.0,0.9078260869565219,1.0,0.5391304347826087,1.0
35.0,0.9026086956521735,1.0,0.5130434782608696,1.0
36.0,0.8973913043478259,1.0,0.5130434782608696,0.9734513274336284
37.0,0.893913043478261,1.0,0.5043478260869564,0.9646017699115039
38.0,0.8904347826086954,1.0,0.4956521739130435,0.9557522123893805
40.0,0.8886956521739128,1.0,0.48695652173913057,0.9557522123893805
43.0,0.88695652173913,1.0,0.48695652173913057,0.946902654867256
44.0,0.88,1.0,0.46956521739130436,0.9292035398230083
45.0,0.8747826086956519,1.0,0.4608695652173913,0.9115044247787609
46.0,0.8695652173913039,1.0,0.4608695652173913,0.8849557522123895
47.0,0.8643478260869565,1.0,0.4521739130434783,0.8672566371681417
48.0,0.862608695652174,1.0,0.4521739130434783,0.8584070796460175
50.0,0.8608695652173911,1.0,0.4521739130434783,0.8495575221238935
51.0,0.8539130434782605,1.0,0.44347826086956516,0.8230088495575222
52.0,0.8521739130434778,1.0,0.44347826086956516,0.8141592920353982
53.0,0.8486956521739132,1.0,0.44347826086956516,0.7964601769911502
54.0,0.8434782608695651,1.0,0.44347826086956516,0.7699115044247785
55.0,0.8417391304347828,1.0,0.44347826086956516,0.7610619469026544
56.0,0.8365217391304345,1.0,0.4347826086956521,0.7433628318584067
57.0,0.8313043478260871,1.0,0.426086956521739,0.7256637168141593
58.0,0.8278260869565218,1.0,0.4173913043478261,0.7168141592920355
59.0,0.8243478260869567,1.0,0.4173913043478261,0.6991150442477875
60.0,0.8226086956521734,1.0,0.4173913043478261,0.6902654867256636
61.0,0.8208695652173909,1.0,0.4173913043478261,0.6814159292035399
62.0,0.8191304347826085,1.0,0.4173913043478261,0.6725663716814158
65.0,0.8121739130434782,1.0,0.40869565217391296,0.6460176991150439
67.0,0.8104347826086952,1.0,0.39999999999999997,0.6460176991150439
68.0,0.8069565217391302,1.0,0.39999999999999997,0.6283185840707963
69.0,0.8034782608695649,1.0,0.39130434782608686,0.6194690265486726
70.0,0.8,1.0,0.39130434782608686,0.6017699115044248
71.0,0.7965217391304349,1.0,0.39130434782608686,0.5840707964601767
72.0,0.7947826086956523,1.0,0.39130434782608686,0.5752212389380528
73.0,0.7913043478260866,1.0,0.39130434782608686,0.5575221238938051
74.0,0.7860869565217393,1.0,0.3826086956521738,0.5398230088495575
75.0,0.7843478260869565,1.0,0.3826086956521738,0.5309734513274333
76.0,0.7808695652173913,1.0,0.3652173913043478,0.5309734513274333
78.0,0.7756521739130434,1.0,0.3565217391304348,0.5132743362831856
79.0,0.7686956521739127,1.0,0.3478260869565217,0.5044247787610618
80.0,0.7652173913043474,1.0,0.3391304347826086,0.5044247787610618
81.0,0.7582608695652171,1.0,0.30434782608695643,0.5044247787610618
83.0,0.7547826086956522,1.0,0.30434782608695643,0.49557522123893816
84.0,0.7495652173913039,1.0,0.30434782608695643,0.48672566371681414
85.0,0.746086956521739,1.0,0.30434782608695643,0.48672566371681414
86.0,0.7408695652173914,1.0,0.2956521739130435,0.47787610619469023
87.0,0.7304347826086954,1.0,0.2956521739130435,0.47787610619469023
89.0,0.7269565217391303,1.0,0.2956521739130435,0.4690265486725663
90.0,0.7199999999999996,1.0,0.2956521739130435,0.4690265486725663
91.0,0.7165217391304348,1.0,0.2956521739130435,0.4690265486725663
92.0,0.7113043478260871,1.0,0.2869565217391304,0.4690265486725663
93.0,0.709565217391304,1.0,0.2869565217391304,0.4690265486725663
94.0,0.7043478260869561,1.0,0.2869565217391304,0.46017699115044247
95.0,0.7008695652173909,1.0,0.2869565217391304,0.46017699115044247
96.0,0.697391304347826,1.0,0.2869565217391304,0.46017699115044247
97.0,0.6956521739130431,1.0,0.27826086956521734,0.46017699115044247
98.0,0.6921739130434781,1.0,0.27826086956521734,0.46017699115044247
99.0,0.6869565217391304,1.0,0.26956521739130435,0.46017699115044247
100.0,0.683478260869565,1.0,0.26956521739130435,0.45132743362831845
101.0,0.6817391304347822,1.0,0.26956521739130435,0.44247787610619455
102.0,0.6747826086956521,1.0,0.26956521739130435,0.43362831858407064
103.0,0.6713043478260868,1.0,0.26956521739130435,0.43362831858407064
104.0,0.6678260869565216,1.0,0.26956521739130435,0.4247787610619469
105.0,0.6643478260869564,1.0,0.2608695652173913,0.4247787610619469
106.0,0.6556521739130434,1.0,0.25217391304347825,0.4159292035398228
107.0,0.6539130434782607,1.0,0.25217391304347825,0.4159292035398228
110.0,0.6504347826086957,1.0,0.25217391304347825,0.407079646017699
111.0,0.6486956521739131,1.0,0.25217391304347825,0.407079646017699
113.0,0.64695652173913,1.0,0.25217391304347825,0.407079646017699
115.0,0.6382608695652174,1.0,0.25217391304347825,0.38938053097345116
116.0,0.634782608695652,1.0,0.25217391304347825,0.3716814159292035
118.0,0.6330434782608694,1.0,0.25217391304347825,0.3716814159292035
119.0,0.6260869565217391,1.0,0.24347826086956517,0.3716814159292035
120.0,0.6208695652173909,1.0,0.24347826086956517,0.3716814159292035
121.0,0.6156521739130432,1.0,0.24347826086956517,0.3716814159292035
122.0,0.6086956521739126,1.0,0.24347826086956517,0.35398230088495564
123.0,0.6034782608695651,1.0,0.24347826086956517,0.3362831858407078
124.0,0.6000000000000001,1.0,0.24347826086956517,0.32743362831858397
126.0,0.5982608695652171,1.0,0.24347826086956517,0.31858407079646006
127.0,0.5965217391304344,1.0,0.24347826086956517,0.30973451327433615
129.0,0.5947826086956518,1.0,0.24347826086956517,0.30973451327433615
130.0,0.5913043478260871,1.0,0.24347826086956517,0.30973451327433615
131.0,0.589565217391304,1.0,0.24347826086956517,0.30973451327433615
132.0,0.5878260869565216,1.0,0.24347826086956517,0.30973451327433615
133.0,0.5860869565217389,1.0,0.24347826086956517,0.30973451327433615
134.0,0.5843478260869563,1.0,0.24347826086956517,0.30973451327433615
136.0,0.5808695652173914,1.0,0.24347826086956517,0.30088495575221236
137.0,0.5791304347826086,1.0,0.24347826086956517,0.30088495575221236
138.0,0.5773913043478257,1.0,0.24347826086956517,0.30088495575221236
139.0,0.5756521739130434,1.0,0.24347826086956517,0.30088495575221236
140.0,0.5739130434782606,1.0,0.24347826086956517,0.30088495575221236
142.0,0.5686956521739129,1.0,0.24347826086956517,0.30088495575221236
143.0,0.5652173913043476,1.0,0.24347826086956517,0.2920353982300884
144.0,0.5599999999999999,1.0,0.24347826086956517,0.28318584070796454
147.0,0.5582608695652173,1.0,0.23478260869565215,0.28318584070796454
148.0,0.5547826086956519,1.0,0.23478260869565215,0.28318584070796454
150.0,0.5530434782608695,1.0,0.23478260869565215,0.28318584070796454
151.0,0.5513043478260866,1.0,0.23478260869565215,0.28318584070796454
152.0,0.5495652173913043,1.0,0.23478260869565215,0.28318584070796454
153.0,0.5478260869565216,1.0,0.23478260869565215,0.28318584070796454
154.0,0.5460869565217389,1.0,0.23478260869565215,0.28318584070796454
155.0,0.5443478260869562,1.0,0.23478260869565215,0.28318584070796454
156.0,0.5391304347826087,1.0,0.21739130434782603,0.28318584070796454
157.0,0.5373913043478262,1.0,0.21739130434782603,0.28318584070796454
159.0,0.532173913043478,1.0,0.19999999999999998,0.28318584070796454
161.0,0.528695652173913,1.0,0.19999999999999998,0.27433628318584063
162.0,0.5252173913043477,1.0,0.19999999999999998,0.27433628318584063
164.0,0.5200000000000001,1.0,0.19999999999999998,0.2654867256637168
166.0,0.5165217391304348,1.0,0.19999999999999998,0.2654867256637168
167.0,0.5130434782608696,1.0,0.19130434782608696,0.2654867256637168
168.0,0.5060869565217392,1.0,0.18260869565217389,0.2654867256637168
169.0,0.5043478260869564,1.0,0.18260869565217389,0.2654867256637168
170.0,0.4991304347826087,1.0,0.18260869565217389,0.2654867256637168
171.0,0.49739130434782586,1.0,0.18260869565217389,0.2654867256637168
174.0,0.4956521739130435,1.0,0.18260869565217389,0.2654867256637168
175.0,0.49043478260869566,0.9913793103448278,0.18260869565217389,0.2566371681415929
176.0,0.4869565217391301,0.9913793103448278,0.18260869565217389,0.2566371681415929
177.0,0.4852173913043476,0.9913793103448278,0.18260869565217389,0.2566371681415929
180.0,0.4817391304347825,0.9913793103448278,0.18260869565217389,0.24778761061946894
181.0,0.47826086956521746,0.9827586206896555,0.18260869565217389,0.2389380530973451
182.0,0.4765217391304348,0.9827586206896555,0.18260869565217389,0.2389380530973451
183.0,0.4747826086956521,0.9827586206896555,0.18260869565217389,0.2389380530973451
184.0,0.46956521739130436,0.9655172413793102,0.18260869565217389,0.2389380530973451
186.0,0.4660869565217389,0.9568965517241379,0.18260869565217389,0.2300884955752212
187.0,0.46434782608695646,0.948275862068966,0.18260869565217389,0.2300884955752212
188.0,0.4608695652173911,0.948275862068966,0.18260869565217389,0.2300884955752212
189.0,0.4591304347826085,0.948275862068966,0.18260869565217389,0.2300884955752212
190.0,0.45565217391304325,0.939655172413793,0.18260869565217389,0.2300884955752212
191.0,0.4539130434782609,0.931034482758621,0.18260869565217389,0.2300884955752212
192.0,0.45043478260869535,0.931034482758621,0.18260869565217389,0.2300884955752212
193.0,0.4486956521739129,0.931034482758621,0.18260869565217389,0.2300884955752212
196.0,0.4469565217391305,0.9224137931034481,0.18260869565217389,0.2300884955752212
198.0,0.44347826086956493,0.9137931034482758,0.18260869565217389,0.2300884955752212
199.0,0.4417391304347825,0.9137931034482758,0.18260869565217389,0.2300884955752212
