times,population,R0,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13
0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4.0,0.9965753424657537,1.0,1.0,1.0,0.9846153846153846,1.0,0.9545454545454544,1.0,1.0,1.0,0.9411764705882352,1.0,0.9876543209876536,1.0,0.96875
5.0,0.9930413873506263,1.0,1.0,1.0,0.9846153846153846,1.0,0.9068181818181816,1.0,1.0,1.0,0.9411764705882352,1.0,0.9748276414943071,1.0,0.96875
6.0,0.989377027987709,0.9958677685950408,1.0,1.0,0.9846153846153846,1.0,0.9068181818181816,1.0,1.0,1.0,0.9411764705882352,1.0,0.9748276414943071,1.0,0.96875
7.0,0.9856007797892833,0.9958677685950408,1.0,1.0,0.9670329670329668,1.0,0.856439393939394,1.0,1.0,1.0,0.9411764705882352,1.0,0.9604919408840962,1.0,0.9341517857142859
8.0,0.9816265830965845,0.9958677685950408,0.9696969696969697,0.9666666666666667,0.9670329670329668,0.9696969696969697,0.8029119318181819,1.0,1.0,0.9666666666666667,0.8627450980392156,1.0,0.9447461713614057,0.9600000000000003,0.9341517857142859
9.0,0.9816265830965845,0.9958677685950408,0.9696969696969697,0.9666666666666667,0.9670329670329668,0.9696969696969697,0.8029119318181819,1.0,1.0,0.9666666666666667,0.8627450980392156,1.0,0.9447461713614057,0.9600000000000003,0.9341517857142859
10.0,0.9771646440825088,0.9958677685950408,0.9337822671156005,0.9263888888888888,0.9460105112279021,0.9337822671156005,0.7493844696969696,0.956521739130435,1.0,0.9263888888888888,0.8627450980392156,0.9444444444444446,0.9447461713614057,0.9120000000000003,0.8967857142857147
11.0,0.9725335320252454,0.9958677685950408,0.8931830381105745,0.882275132275132,0.924510272336359,0.8931830381105745,0.6958570075757576,0.9130434782608696,1.0,0.882275132275132,0.8627450980392156,0.888888888888889,0.9262217366288291,0.8613333333333337,0.8594196428571432
12.0,0.9725335320252454,0.9958677685950408,0.8931830381105745,0.882275132275132,0.924510272336359,0.8931830381105745,0.6958570075757576,0.9130434782608696,1.0,0.882275132275132,0.8627450980392156,0.888888888888889,0.9262217366288291,0.8613333333333337,0.8594196428571432
13.0,0.9673048571218831,0.989939984258166,0.8931830381105745,0.882275132275132,0.924510272336359,0.8931830381105745,0.6958570075757576,0.9130434782608696,0.9859154929577468,0.882275132275132,0.8627450980392156,0.888888888888889,0.9056390313704107,0.8613333333333337,0.8594196428571432
14.0,0.9560571262251175,0.9835118025422034,0.8931830381105745,0.882275132275132,0.9008048807379908,0.8931830381105745,0.6378689236111112,0.8593350383631713,0.9859154929577468,0.882275132275132,0.8627450980392156,0.8205128205128206,0.9056390313704107,0.8613333333333337,0.8184948979591838
15.0,0.9560571262251175,0.9835118025422034,0.8931830381105745,0.882275132275132,0.9008048807379908,0.8931830381105745,0.6378689236111112,0.8593350383631713,0.9859154929577468,0.882275132275132,0.8627450980392156,0.8205128205128206,0.9056390313704107,0.8613333333333337,0.8184948979591838
16.0,0.9427785550275465,0.9758876800418761,0.8336375022365361,0.8192554799697657,0.846210645541749,0.8336375022365361,0.5740820312500001,0.7932323431044658,0.9859154929577468,0.8192554799697657,0.8627450980392156,0.7293447293447292,0.8824175177455283,0.7830303030303035,0.7730229591836738
17.0,0.9356899944634294,0.9758876800418761,0.8336375022365361,0.8192554799697657,0.8170309681092747,0.8336375022365361,0.5102951388888888,0.7932323431044658,0.9859154929577468,0.8192554799697657,0.7394957983193277,0.7293447293447292,0.8824175177455283,0.7830303030303035,0.7214880952380954
18.0,0.9204755230087401,0.9583041182393197,0.7502737520128825,0.7282270933064581,0.7878512906768007,0.7502737520128825,0.5102951388888888,0.7211203119131507,0.9629872256796598,0.7282270933064581,0.7394957983193277,0.625152625152625,0.8824175177455283,0.6711688311688316,0.7214880952380954
19.0,0.9204755230087401,0.9583041182393197,0.7502737520128825,0.7282270933064581,0.7878512906768007,0.7502737520128825,0.5102951388888888,0.7211203119131507,0.9629872256796598,0.7282270933064581,0.7394957983193277,0.625152625152625,0.8824175177455283,0.6711688311688316,0.7214880952380954
20.0,0.9204755230087401,0.9583041182393197,0.7502737520128825,0.7282270933064581,0.7878512906768007,0.7502737520128825,0.5102951388888888,0.7211203119131507,0.9629872256796598,0.7282270933064581,0.7394957983193277,0.625152625152625,0.8824175177455283,0.6711688311688316,0.7214880952380954
21.0,0.9111777904530968,0.9476562947033271,0.625228126677402,0.5825816746451665,0.7878512906768007,0.625228126677402,0.5102951388888888,0.7211203119131507,0.9629872256796598,0.5825816746451665,0.5915966386554622,0.625152625152625,0.8471208170357074,0.4474458874458877,0.7214880952380954
22.0,0.9111777904530968,0.9476562947033271,0.625228126677402,0.5825816746451665,0.7878512906768007,0.625228126677402,0.5102951388888888,0.7211203119131507,0.9629872256796598,0.5825816746451665,0.5915966386554622,0.625152625152625,0.8471208170357074,0.4474458874458877,0.7214880952380954
23.0,0.9111777904530968,0.9476562947033271,0.625228126677402,0.5825816746451665,0.7878512906768007,0.625228126677402,0.5102951388888888,0.7211203119131507,0.9629872256796598,0.5825816746451665,0.5915966386554622,0.625152625152625,0.8471208170357074,0.4474458874458877,0.7214880952380954
