id,sg,baseline,fitness,pvalue,mean_sg,mean_pop,mean_cpm,size_sg,size_pop,size_cpm
R0,(TUMOR_STATUS=WITH TUMOR),complement,1.000000,0.000000,20.520000,24.102410,24.394137,25,332,307
R1,(TUMOR_STATUS=TUMOR FREE),complement,1.000000,0.000000,25.065292,24.102410,17.268293,291,332,41
R2,(HISTOLOGICAL_TYPE=Classical) & (PATH_N_STAGE=N1b),complement,0.999987,0.000013,12.483871,24.102410,25.299003,31,332,301
R3,(MRNA_CLUSTER=5.0) & (MIRNA_CLUSTER=6.0) & (WGS_STATUS=No),complement,0.999287,0.000713,28.666667,24.102410,23.330986,48,332,284
R4,(SEX=Male) & (EXOME=1) & (MIRNA_CLUSTER=6.0),complement,0.999593,0.000407,10.176471,24.102410,24.853968,17,332,315
R5,(MRNA_CLUSTER=5.0) & (HISTOLOGICAL_TYPE=Classical),complement,0.999684,0.000316,30.571429,24.102410,22.982332,49,332,283
R6,(PATH_N_STAGE=N1b),complement,0.999304,0.000696,12.951220,24.102410,25.673540,41,332,291
R7,(PATH_T_STAGE=T3) & (HISTOLOGICAL_TYPE=Classical) & (PRIMARY_EXOME=No),complement,0.999554,0.000446,17.947368,24.102410,24.476038,19,332,313
R8,(RISK_GROUP=Intermediate) & (PATH_N_STAGE=N1b),complement,0.999776,0.000224,13.222222,24.102410,25.425676,36,332,296
R9,(MIRNA_CLUSTER=6.0) & (MRNA_CLUSTER=5.0) & (EXTRATHYROIDAL_EXTENSION=None),complement,0.999306,0.000694,22.217391,24.102410,24.242718,23,332,309
R10,(RISK_GROUP=Intermediate),complement,0.984686,0.015314,25.789474,24.102410,21.845070,190,332,142
R11,(PATH_N_STAGE=N1b) & (WGS_STATUS=No),complement,0.999374,0.000626,13.333333,24.102410,25.535836,39,332,293
R12,(RISK_GROUP=Intermediate) & (DISEASE_STAGE=Stage IVA),complement,0.990544,0.009456,13.055556,24.102410,24.735669,18,332,314
