times,population,R0,R1,R2,R3,R4,R5
0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,0.9854014598540146,0.9545454545454544,1.0,0.9428571428571431,1.0,1.0,1.0
2.0,0.9781021897810215,0.9545454545454544,0.9791666666666663,0.9428571428571431,1.0,0.9444444444444446,1.0
3.0,0.970802919708029,0.9090909090909087,0.9791666666666663,0.9428571428571431,1.0,0.9444444444444446,0.962962962962963
4.0,0.9635036496350361,0.9090909090909087,0.9583333333333331,0.9428571428571431,1.0,0.9444444444444446,0.962962962962963
7.0,0.9416058394160581,0.8636363636363633,0.9166666666666663,0.9428571428571431,0.8888888888888886,0.888888888888889,0.9259259259259257
8.0,0.9124087591240878,0.8181818181818179,0.8958333333333331,0.9142857142857145,0.7777777777777776,0.8333333333333335,0.8518518518518517
10.0,0.8978102189781016,0.7727272727272726,0.8749999999999999,0.8857142857142859,0.7777777777777776,0.8333333333333335,0.8518518518518517
11.0,0.8905109489051095,0.7727272727272726,0.8749999999999999,0.8571428571428573,0.7777777777777776,0.8333333333333335,0.8518518518518517
12.0,0.8759124087591238,0.7727272727272726,0.8749999999999999,0.8571428571428573,0.6666666666666665,0.8333333333333335,0.814814814814815
13.0,0.8613138686131389,0.7272727272727271,0.8333333333333331,0.8571428571428573,0.6666666666666665,0.7777777777777778,0.814814814814815
15.0,0.846715328467153,0.6818181818181817,0.8333333333333331,0.8285714285714288,0.6666666666666665,0.7777777777777778,0.814814814814815
16.0,0.8394160583941606,0.6363636363636361,0.8124999999999997,0.8285714285714288,0.6666666666666665,0.7777777777777778,0.814814814814815
18.0,0.817518248175182,0.5454545454545454,0.770833333333333,0.8285714285714288,0.5555555555555554,0.7777777777777778,0.7777777777777778
19.0,0.8029197080291972,0.49999999999999994,0.770833333333333,0.8285714285714288,0.44444444444444436,0.7777777777777778,0.7407407407407406
20.0,0.7883211678832117,0.40909090909090906,0.7291666666666664,0.8285714285714288,0.44444444444444436,0.7222222222222223,0.7407407407407406
21.0,0.773722627737226,0.3636363636363635,0.6874999999999999,0.8285714285714288,0.44444444444444436,0.6666666666666669,0.7407407407407406
22.0,0.7664233576642332,0.3636363636363635,0.6666666666666665,0.8285714285714288,0.44444444444444436,0.6666666666666669,0.7407407407407406
24.0,0.7518248175182481,0.3636363636363635,0.6458333333333333,0.8285714285714288,0.3333333333333333,0.6111111111111113,0.7037037037037035
25.0,0.7299270072992703,0.27272727272727265,0.6041666666666666,0.8,0.3333333333333333,0.5000000000000002,0.7037037037037035
27.0,0.7225540072255406,0.27272727272727265,0.5833333333333331,0.8,0.3333333333333333,0.5000000000000002,0.7037037037037035
29.0,0.7151810071518103,0.27272727272727265,0.5624999999999999,0.8,0.3333333333333333,0.4444444444444444,0.7037037037037035
