times,population,R0,R1,R2,R3,R4
0.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,0.9701046337817638,0.849056603773585,1.0,1.0,1.0,1.0
2.0,0.9499097030862298,0.7467149595687335,1.0,1.0,1.0,1.0
3.0,0.9386902971442661,0.6898584905660379,1.0,1.0,1.0,1.0
4.0,0.9274708912023034,0.6330020215633428,1.0,1.0,1.0,1.0
5.0,0.9199912872409939,0.5950977088948788,1.0,1.0,1.0,1.0
6.0,0.913259643675816,0.5609838274932615,1.0,1.0,1.0,1.0
7.0,0.9087718812990306,0.5382412398921836,1.0,1.0,1.0,1.0
8.0,0.8990483961493293,0.4889656334231807,1.0,1.0,1.0,1.0
9.0,0.892316752584151,0.45485175202156347,1.0,1.0,1.0,1.0
10.0,0.8848371486228425,0.4169474393531001,1.0,1.0,1.0,1.0
11.0,0.8780998099277446,0.3825205865624774,1.0,1.0,1.0,1.0
12.0,0.873608250797679,0.3595693513687286,1.0,1.0,1.0,1.0
13.0,0.8698652848559578,0.3404433220406047,1.0,1.0,1.0,1.0
14.0,0.8683680984792698,0.3327929103093552,1.0,1.0,1.0,1.0
15.0,0.8638765393492048,0.3098416751156067,1.0,1.0,1.0,1.0
16.0,0.8601335734074835,0.2907156457874827,1.0,1.0,1.0,1.0
17.0,0.8548934210890745,0.2639392047281094,1.0,1.0,1.0,1.0
18.0,0.8504018619590094,0.24098796953436064,1.0,1.0,1.0,1.0
19.0,0.8474074892056324,0.22568714607186163,1.0,1.0,1.0,1.0
20.0,0.8406701505105342,0.19126029328123859,1.0,1.0,1.0,1.0
21.0,0.8376757777571575,0.17595946981873953,1.0,1.0,1.0,1.0
22.0,0.8294412526853716,0.133882205296867,1.0,1.0,1.0,1.0
23.0,0.8279440663086832,0.12623179356561748,1.0,1.0,1.0,1.0
24.0,0.8219553208019295,0.09563014664061929,1.0,1.0,1.0,1.0
25.0,0.8167151684835199,0.06885370558124589,1.0,1.0,1.0,1.0
26.0,0.8129722025417989,0.04972767625312204,1.0,1.0,1.0,1.0
27.0,0.8077320502233896,0.04590247038749727,1.0,0.9773584905660375,1.0,1.0
28.0,0.8024918979049803,0.0420772645218725,1.0,0.9547169811320757,1.0,1.0
29.0,0.7980003387749149,0.0420772645218725,1.0,0.9320754716981137,1.0,1.0
30.0,0.7920115932681616,0.0420772645218725,1.0,0.9018867924528307,1.0,1.0
31.0,0.7867714409497524,0.0420772645218725,1.0,0.8754716981132077,1.0,1.0
32.0,0.7807826954429987,0.0420772645218725,1.0,0.8452830188679245,1.0,1.0
33.0,0.7777883226896217,0.0420772645218725,1.0,0.8301886792452835,1.0,1.0
34.0,0.7732967635595566,0.0420772645218725,1.0,0.8075471698113207,1.0,1.0
35.0,0.7680566112411471,0.0420772645218725,1.0,0.781132075471698,1.0,1.0
36.0,0.7643099936253362,0.03825205865624773,1.0,0.7659644623557429,1.0,1.0
37.0,0.7598140524863641,0.03825205865624773,1.0,0.7432130426818093,1.0,1.0
38.0,0.7553181113473915,0.03825205865624773,1.0,0.7204616230078768,1.0,1.0
39.0,0.7508221702084186,0.03825205865624773,1.0,0.697710203333944,1.0,1.0
40.0,0.7470755525926082,0.03825205865624773,1.0,0.6787506869389995,1.0,1.0
41.0,0.7448275820231222,0.03825205865624773,1.0,0.6673749771020329,1.0,1.0
42.0,0.7388329938378251,0.03825205865624773,1.0,0.6370397508701224,1.0,1.0
43.0,0.7335877291756905,0.03825205865624773,1.0,0.6104964279172008,1.0,1.0
44.0,0.7283424645135558,0.03442685279062296,1.0,0.5877450082432679,1.0,1.0
45.0,0.7245919883832075,0.03442685279062296,1.0,0.5686623781054994,1.0,1.0
46.0,0.7140906552182334,0.03442685279062296,1.0,0.5152310137197478,1.0,1.0
47.0,0.7118403695400252,0.03442685279062296,1.0,0.5037814356370864,1.0,1.0
48.0,0.7050823913481898,0.03442685279062296,1.0,0.4691704973108747,1.0,1.0
49.0,0.698317208488772,0.03060164692499817,1.0,0.43815096029858547,1.0,1.0
50.0,0.6923037126137344,0.03060164692499817,1.0,0.407131423286296,1.0,1.0
51.0,0.6915520256293549,0.03060164692499817,1.0,0.4032539811597599,1.0,1.0
52.0,0.6862902167386963,0.022951235193748632,1.0,0.3838667705270791,1.0,1.0
53.0,0.6802568961519827,0.022951235193748632,1.0,0.3518778729831561,1.0,1.0
54.0,0.6757218501776358,0.019126029328123864,1.0,0.3314198571120426,1.0,1.0
55.0,0.671942645199014,0.019126029328123864,1.0,0.31096184124092874,1.0,1.0
56.0,0.6696751222118408,0.015300823462499091,1.0,0.30277863489248336,1.0,1.0
57.0,0.6666414863241314,0.015300823462499091,1.0,0.2857206836309349,1.0,1.0
58.0,0.6636009322245914,0.015300823462499091,1.0,0.2681378723305698,1.0,1.0
59.0,0.6605498934557424,0.015300823462499091,1.0,0.24964560527328922,1.0,1.0
60.0,0.6567050163110646,0.015300823462499091,1.0,0.22308756215910958,1.0,1.0
61.0,0.651303212416614,0.015300823462499091,1.0,0.18304620484850018,1.0,1.0
62.0,0.6482054563528012,0.015300823462499091,1.0,0.15779845245560356,1.0,1.0
63.0,0.6435476925945779,0.011475617596874321,1.0,0.12349444105221147,1.0,1.0
64.0,0.6373373409169459,0.011475617596874321,1.0,0.12349444105221147,1.0,0.9696969696969697
65.0,0.6334416358991161,0.011475617596874321,1.0,0.12349444105221147,1.0,0.9506084466714385
66.0,0.6264207310677219,0.011475617596874321,1.0,0.12349444105221147,1.0,0.9161105594938461
67.0,0.6217284409473642,0.011475617596874321,1.0,0.12349444105221147,1.0,0.8929178871015963
68.0,0.6186002475337928,0.011475617596874321,1.0,0.12349444105221147,1.0,0.8774561055067639
69.0,0.6138900933647538,0.0076504117312495455,1.0,0.10896568328136305,1.0,0.865704461236584
70.0,0.6091617999627149,0.0038252058656247723,1.0,0.10170130439593882,1.0,0.8498199757093071
71.0,0.6004594885346766,0.0038252058656247723,1.0,0.08717254662509044,1.0,0.8135717302999055
72.0,0.5988751627074085,0.0038252058656247723,1.0,0.08717254662509044,1.0,0.8054764892023939
73.0,0.5925041503381805,0.0038252058656247723,1.0,0.07990816773966625,1.0,0.7765619485643593
74.0,0.5893100578835272,0.0038252058656247723,1.0,0.07990816773966625,1.0,0.7598616916059855
75.0,0.585301145925136,0.0038252058656247723,1.0,0.07990816773966625,1.0,0.7386365046896173
