times,population,R0,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11
0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
125.0,0.9948979591836739,1.0,1.0,0.9827586206896555,1.0,1.0,1.0,1.0,1.0,0.9523809523809522,1.0,1.0,1.0
269.0,0.9897959183673475,1.0,1.0,0.9827586206896555,1.0,0.9523809523809522,1.0,1.0,1.0,0.9047619047619045,1.0,1.0,0.9879518072289155
289.0,0.9846938775510209,1.0,1.0,0.9827586206896555,1.0,0.9523809523809522,1.0,1.0,1.0,0.857142857142857,1.0,1.0,0.9759036144578314
394.0,0.9795918367346942,1.0,1.0,0.9827586206896555,1.0,0.9523809523809522,0.9736842105263158,1.0,1.0,0.857142857142857,0.9841269841269844,1.0,0.9638554216867463
404.0,0.9744897959183678,1.0,1.0,0.9827586206896555,1.0,0.9047619047619045,0.9736842105263158,1.0,0.9545454545454544,0.8095238095238095,0.9682539682539685,1.0,0.9638554216867463
421.0,0.9693877551020412,1.0,1.0,0.9827586206896555,1.0,0.857142857142857,0.9736842105263158,1.0,0.9090909090909087,0.7619047619047619,0.9523809523809522,1.0,0.9518072289156624
434.0,0.9642857142857149,1.0,1.0,0.9827586206896555,1.0,0.857142857142857,0.9736842105263158,0.9583333333333331,0.9090909090909087,0.7142857142857143,0.9523809523809522,1.0,0.939759036144578
524.0,0.9591836734693882,1.0,1.0,0.9827586206896555,1.0,0.857142857142857,0.9473684210526316,0.9583333333333331,0.9090909090909087,0.7142857142857143,0.9365079365079368,1.0,0.927710843373494
528.0,0.9540816326530618,1.0,1.0,0.9827586206896555,1.0,0.857142857142857,0.9473684210526316,0.9583333333333331,0.9090909090909087,0.7142857142857143,0.9365079365079368,1.0,0.9156626506024093
530.0,0.9489795918367355,1.0,1.0,0.9827586206896555,1.0,0.857142857142857,0.9473684210526316,0.9583333333333331,0.9090909090909087,0.7142857142857143,0.9365079365079368,1.0,0.9036144578313247
649.0,0.9438775510204082,1.0,1.0,0.9827586206896555,1.0,0.857142857142857,0.9473684210526316,0.9166666666666667,0.9090909090909087,0.7142857142857143,0.9206349206349205,1.0,0.8915662650602411
690.0,0.9387755102040822,1.0,1.0,0.9827586206896555,1.0,0.857142857142857,0.9473684210526316,0.8749999999999999,0.9090909090909087,0.7142857142857143,0.9206349206349205,1.0,0.8915662650602411
723.0,0.9336734693877559,1.0,1.0,0.9827586206896555,1.0,0.857142857142857,0.9210526315789473,0.8333333333333331,0.9090909090909087,0.7142857142857143,0.904761904761905,1.0,0.8915662650602411
730.0,0.9285714285714287,1.0,1.0,0.9827586206896555,1.0,0.857142857142857,0.9210526315789473,0.8333333333333331,0.9090909090909087,0.7142857142857143,0.904761904761905,1.0,0.8795180722891561
794.0,0.9234693877551027,1.0,1.0,0.9827586206896555,1.0,0.8095238095238095,0.8947368421052634,0.7916666666666664,0.9090909090909087,0.7142857142857143,0.8888888888888894,1.0,0.867469879518072
796.0,0.918367346938776,1.0,1.0,0.9655172413793109,1.0,0.7619047619047619,0.8947368421052634,0.7916666666666664,0.8636363636363633,0.6666666666666665,0.8730158730158734,1.0,0.867469879518072
803.0,0.9132653061224493,1.0,1.0,0.9655172413793109,1.0,0.7619047619047619,0.8947368421052634,0.7499999999999998,0.8636363636363633,0.6666666666666665,0.8730158730158734,1.0,0.8554216867469877
805.0,0.9081632653061227,1.0,1.0,0.9655172413793109,1.0,0.7619047619047619,0.8947368421052634,0.7499999999999998,0.8636363636363633,0.6666666666666665,0.8730158730158734,1.0,0.8433734939759037
880.0,0.903061224489796,1.0,1.0,0.948275862068966,1.0,0.7619047619047619,0.868421052631579,0.7499999999999998,0.8636363636363633,0.6666666666666665,0.8730158730158734,1.0,0.8433734939759037
