times,population,R0,R1,R2,R3,R4
0.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,0.9701046337817638,1.0,0.849056603773585,1.0,1.0,1.0
2.0,0.9499097030862298,1.0,0.7467149595687335,1.0,1.0,1.0
3.0,0.9386902971442661,1.0,0.6898584905660379,1.0,1.0,1.0
4.0,0.9274708912023034,1.0,0.6330020215633428,1.0,1.0,1.0
5.0,0.9199912872409939,1.0,0.5950977088948788,1.0,1.0,1.0
6.0,0.913259643675816,1.0,0.5609838274932615,1.0,1.0,1.0
7.0,0.9087718812990306,1.0,0.5382412398921836,1.0,1.0,1.0
8.0,0.8990483961493293,1.0,0.4889656334231807,1.0,1.0,1.0
9.0,0.892316752584151,1.0,0.45485175202156347,1.0,1.0,1.0
10.0,0.8848371486228425,1.0,0.4169474393531001,1.0,1.0,1.0
11.0,0.8780998099277446,1.0,0.3825205865624774,1.0,1.0,1.0
12.0,0.873608250797679,1.0,0.3595693513687286,1.0,1.0,1.0
13.0,0.8698652848559578,1.0,0.3404433220406047,1.0,1.0,1.0
14.0,0.8683680984792698,1.0,0.3327929103093552,1.0,1.0,1.0
15.0,0.8638765393492048,1.0,0.3098416751156067,1.0,1.0,1.0
16.0,0.8601335734074835,1.0,0.2907156457874827,1.0,1.0,1.0
17.0,0.8548934210890745,1.0,0.2639392047281094,1.0,1.0,1.0
18.0,0.8504018619590094,1.0,0.24098796953436064,1.0,1.0,1.0
19.0,0.8474074892056324,1.0,0.22568714607186163,1.0,1.0,1.0
20.0,0.8406701505105342,1.0,0.19126029328123859,1.0,1.0,1.0
21.0,0.8376757777571575,1.0,0.17595946981873953,1.0,1.0,1.0
22.0,0.8294412526853716,1.0,0.133882205296867,1.0,1.0,1.0
23.0,0.8279440663086832,1.0,0.12623179356561748,1.0,1.0,1.0
24.0,0.8219553208019295,1.0,0.09563014664061929,1.0,1.0,1.0
25.0,0.8167151684835199,1.0,0.06885370558124589,1.0,1.0,1.0
26.0,0.8129722025417989,1.0,0.04972767625312204,1.0,1.0,1.0
27.0,0.8077320502233896,0.9773584905660375,0.04590247038749727,1.0,1.0,1.0
28.0,0.8024918979049803,0.9547169811320757,0.0420772645218725,1.0,1.0,1.0
29.0,0.7980003387749149,0.9320754716981137,0.0420772645218725,1.0,1.0,1.0
30.0,0.7920115932681616,0.9018867924528307,0.0420772645218725,1.0,1.0,1.0
31.0,0.7867714409497524,0.8754716981132077,0.0420772645218725,1.0,1.0,1.0
32.0,0.7807826954429987,0.8452830188679245,0.0420772645218725,1.0,1.0,1.0
33.0,0.7777883226896217,0.8301886792452835,0.0420772645218725,1.0,1.0,1.0
34.0,0.7732967635595566,0.8075471698113207,0.0420772645218725,1.0,1.0,1.0
35.0,0.7680566112411471,0.781132075471698,0.0420772645218725,1.0,1.0,1.0
36.0,0.7643099936253362,0.7659644623557429,0.03825205865624773,1.0,1.0,1.0
37.0,0.7598140524863641,0.7432130426818093,0.03825205865624773,1.0,1.0,1.0
38.0,0.7553181113473915,0.7204616230078768,0.03825205865624773,1.0,1.0,1.0
39.0,0.7508221702084186,0.697710203333944,0.03825205865624773,1.0,1.0,1.0
40.0,0.7470755525926082,0.6787506869389995,0.03825205865624773,1.0,1.0,1.0
41.0,0.7448275820231222,0.6673749771020329,0.03825205865624773,1.0,1.0,1.0
42.0,0.7388329938378251,0.6370397508701224,0.03825205865624773,1.0,1.0,1.0
43.0,0.7335877291756905,0.6104964279172008,0.03825205865624773,1.0,1.0,1.0
44.0,0.7283424645135558,0.5877450082432679,0.03442685279062296,1.0,1.0,1.0
45.0,0.7245919883832075,0.5686623781054994,0.03442685279062296,1.0,1.0,1.0
46.0,0.7140906552182334,0.5152310137197478,0.03442685279062296,1.0,1.0,1.0
47.0,0.7118403695400252,0.5037814356370864,0.03442685279062296,1.0,1.0,1.0
48.0,0.7050823913481898,0.4691704973108747,0.03442685279062296,1.0,1.0,1.0
49.0,0.698317208488772,0.43815096029858547,0.03060164692499817,1.0,1.0,1.0
50.0,0.6923037126137344,0.407131423286296,0.03060164692499817,1.0,1.0,1.0
51.0,0.6915520256293549,0.4032539811597599,0.03060164692499817,1.0,1.0,1.0
52.0,0.6862902167386963,0.3838667705270791,0.022951235193748632,1.0,1.0,1.0
53.0,0.6802568961519827,0.3518778729831561,0.022951235193748632,1.0,1.0,1.0
