id,sg,baseline,fitness,pvalue,mean_sg,mean_pop,mean_cpm,size_sg,size_pop,size_cpm
R0,(tx=0) & (strat2=0),population,1.000000,0.000000,216.577273,230.183319,233.398496,220,1151,931
R1,(strat2=0) & (ivdrug=1),population,0.999981,0.000019,222.827957,230.183319,233.695764,372,1151,779
R2,"(cd4=[0.00,17.00))",population,0.999994,0.000006,224.205240,230.183319,231.668113,229,1151,922
R3,(strat2=0),population,0.999925,0.000075,226.936219,230.183319,232.185393,439,1151,712
R4,"(cd4=[0.00,17.00)) & (ivdrug=1)",population,0.999997,0.000003,220.628141,230.183319,232.180672,199,1151,952
R5,"(strat2=0) & (cd4=[0.00,17.00))",population,0.999995,0.000005,224.242291,230.183319,231.642857,227,1151,924
R6,"(cd4=[98.00,148.00))",population,0.993609,0.006391,236.013100,230.183319,228.735358,229,1151,922
R7,"(age=[35.00,40.00)) & (txgrp=2)",population,0.990866,0.009134,246.035971,230.183319,228.005929,139,1151,1012
R8,"(cd4=[148.00,392.00])",population,0.999915,0.000085,228.713675,230.183319,230.558342,234,1151,917
R9,(txgrp=2) & (strat2=1),population,0.999557,0.000443,237.101695,230.183319,227.110414,354,1151,797
R10,(strat2=0) & (hemophil=0),population,0.999930,0.000070,227.134752,230.183319,231.954670,423,1151,728
R11,(strat2=1) & (tx=1),population,0.999561,0.000439,236.540845,230.183319,227.347990,355,1151,796
R12,(karnof=100),population,0.990468,0.009532,229.888889,230.183319,230.337748,396,1151,755
R13,(strat2=0) & (tx=0) & (ivdrug=1),population,1.000000,0.000000,211.956522,230.183319,233.651499,184,1151,967
R14,(karnof=80),population,0.999845,0.000155,216.697802,230.183319,232.716202,182,1151,969
R15,(strat2=1),population,0.999538,0.000462,232.185393,230.183319,226.936219,712,1151,439
