id,sg,baseline,fitness,pvalue,mean_sg,mean_pop,mean_cpm,size_sg,size_pop,size_cpm
R0,"(cd4=[0.00,17.00))",population,0.999994,0.000006,224.205240,230.183319,231.668113,229,1151,922
R1,"(cd4=[148.00,392.00])",population,0.999915,0.000085,228.713675,230.183319,230.558342,234,1151,917
R2,(strat2=0),population,0.999925,0.000075,226.936219,230.183319,232.185393,439,1151,712
R3,(karnof=80),population,0.999845,0.000155,216.697802,230.183319,232.716202,182,1151,969
R4,(karnof=100),population,0.990468,0.009532,229.888889,230.183319,230.337748,396,1151,755
R5,"(cd4=[0.00,17.00)) & (strat2=0)",population,0.999995,0.000005,224.242291,230.183319,231.642857,227,1151,924
R6,(strat2=1) & (txgrp=2),population,0.999557,0.000443,237.101695,230.183319,227.110414,354,1151,797
R7,"(cd4=[0.00,17.00)) & (ivdrug=1)",population,0.999997,0.000003,220.628141,230.183319,232.180672,199,1151,952
R8,"(cd4=[0.00,17.00)) & (strat2=0) & (ivdrug=1) & (hemophil=0)",population,0.999998,0.000002,221.005291,230.183319,231.986486,189,1151,962
R9,(karnof=80) & (ivdrug=1),population,0.999987,0.000013,212.820690,230.183319,232.685885,145,1151,1006
R10,(strat2=1),population,0.999538,0.000462,232.185393,230.183319,226.936219,712,1151,439
