id,sg,baseline,fitness,pvalue,mean_sg,mean_pop,mean_cpm,size_sg,size_pop,size_cpm
R0,"(hist-stage=4) & (sb=[2.00,4.00])",population,1.000000,0.000000,859.411765,1979.166667,2136.487603,34,276,242
R1,"(sb=[0.00,0.00))",population,0.999997,0.000003,2546.272727,1979.166667,1713.712766,88,276,188
R2,"(sex=female) & (sb=[2.00,4.00])",population,1.000000,0.000000,1133.886792,1979.166667,2180.062780,53,276,223
R3,"(sb=[2.00,4.00])",population,1.000000,0.000000,1170.919355,1979.166667,2213.331776,62,276,214
R4,"(sb=[2.00,4.00]) & (sex=female) & (hist-stage=4)",population,1.000000,0.000000,776.896552,1979.166667,2120.323887,29,276,247
R5,"(uc=[152.00,588.00])",population,1.000000,0.000000,1370.087719,1979.166667,2137.694064,57,276,219
R6,"(sex=female) & (sb=[2.00,4.00]) & (hp=yes)",population,1.000000,0.000000,1049.292683,1979.166667,2141.400000,41,276,235
R7,"(ptb=[10.00,10.00]) & (sb=[2.00,4.00])",population,1.000000,0.000000,932.111111,1979.166667,2136.225000,36,276,240
R8,"(uc=[152.00,588.00]) & (hp=yes)",population,1.000000,0.000000,1100.153846,1979.166667,2123.814346,39,276,237
R9,"(hp=yes) & (age=[21483.00,28650.00])",population,0.999982,0.000018,1227.193548,1979.166667,2074.314286,31,276,245
R10,"(sb=[2.00,4.00]) & (hp=yes)",population,1.000000,0.000000,1084.408163,1979.166667,2172.308370,49,276,227
