times,population,R0,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,R24,R25,R26,R27,R28,R29
0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
125.0,0.9948979591836739,1.0,1.0,1.0,1.0,0.9827586206896555,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
269.0,0.9897959183673475,1.0,1.0,0.962962962962963,1.0,0.9827586206896555,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.956521739130435,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.956521739130435,1.0,1.0
289.0,0.9846938775510209,1.0,1.0,0.962962962962963,1.0,0.9827586206896555,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.956521739130435,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.956521739130435,1.0,1.0
394.0,0.9795918367346942,1.0,1.0,0.962962962962963,1.0,0.9827586206896555,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.956521739130435,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.956521739130435,1.0,1.0
404.0,0.9744897959183678,1.0,1.0,0.9259259259259257,1.0,0.9827586206896555,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.956521739130435,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9130434782608696,1.0,1.0
421.0,0.9693877551020412,1.0,1.0,0.888888888888889,1.0,0.9827586206896555,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9130434782608696,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8695652173913042,1.0,1.0
434.0,0.9642857142857149,1.0,1.0,0.888888888888889,1.0,0.9827586206896555,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9130434782608696,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8695652173913042,1.0,1.0
524.0,0.9591836734693882,1.0,1.0,0.888888888888889,1.0,0.9827586206896555,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9130434782608696,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8695652173913042,1.0,1.0
528.0,0.9540816326530618,1.0,1.0,0.8518518518518517,1.0,0.9827586206896555,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8695652173913042,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.826086956521739,1.0,1.0
530.0,0.9489795918367355,1.0,1.0,0.8518518518518517,1.0,0.9827586206896555,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8695652173913042,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.826086956521739,1.0,1.0
649.0,0.9438775510204082,1.0,1.0,0.8518518518518517,1.0,0.9827586206896555,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8695652173913042,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.826086956521739,1.0,1.0
690.0,0.9387755102040822,1.0,1.0,0.8518518518518517,1.0,0.9827586206896555,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8695652173913042,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.826086956521739,1.0,1.0
723.0,0.9336734693877559,1.0,1.0,0.8518518518518517,1.0,0.9827586206896555,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8695652173913042,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.826086956521739,1.0,1.0
730.0,0.9285714285714287,1.0,1.0,0.8518518518518517,1.0,0.9827586206896555,0.9852941176470582,1.0,1.0,1.0,1.0,1.0,1.0,0.8695652173913042,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9756097560975607,1.0,1.0,1.0,1.0,1.0,1.0,0.826086956521739,1.0,1.0
794.0,0.9234693877551027,1.0,1.0,0.8518518518518517,1.0,0.9827586206896555,0.9852941176470582,1.0,1.0,1.0,1.0,1.0,1.0,0.8695652173913042,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9756097560975607,1.0,1.0,1.0,1.0,1.0,1.0,0.826086956521739,1.0,1.0
796.0,0.918367346938776,1.0,1.0,0.8518518518518517,1.0,0.9655172413793109,0.9852941176470582,1.0,1.0,1.0,1.0,1.0,1.0,0.8695652173913042,1.0,1.0,1.0,1.0,0.9791666666666663,1.0,1.0,0.9756097560975607,1.0,1.0,1.0,1.0,1.0,1.0,0.826086956521739,1.0,0.9714285714285718
803.0,0.9132653061224493,1.0,1.0,0.814814814814815,1.0,0.9655172413793109,0.9852941176470582,1.0,1.0,1.0,1.0,1.0,0.9767441860465118,0.826086956521739,1.0,1.0,1.0,1.0,0.9791666666666663,1.0,1.0,0.9756097560975607,1.0,1.0,1.0,1.0,1.0,1.0,0.7826086956521738,1.0,0.9714285714285718
805.0,0.9081632653061227,1.0,1.0,0.7777777777777778,1.0,0.9655172413793109,0.9852941176470582,1.0,1.0,1.0,1.0,1.0,0.9767441860465118,0.7826086956521738,1.0,1.0,1.0,1.0,0.9791666666666663,1.0,1.0,0.9756097560975607,1.0,1.0,1.0,1.0,1.0,1.0,0.7391304347826088,1.0,0.9714285714285718
