times,population,R0,R1,R2,R3
0.0,1.0,1.0,1.0,1.0,1.0
6.0,0.9943181818181827,0.9743589743589743,0.9736842105263158,1.0,0.9767441860465118
7.0,0.9886363636363641,0.9487179487179488,0.9473684210526316,1.0,0.9767441860465118
31.0,0.9829545454545462,0.9230769230769231,0.9210526315789473,1.0,0.9534883720930234
32.0,0.9772727272727274,0.9230769230769231,0.9210526315789473,1.0,0.9302325581395349
39.0,0.97159090909091,0.9230769230769231,0.9210526315789473,1.0,0.9302325581395349
61.0,0.9602272727272732,0.871794871794872,0.868421052631579,1.0,0.883720930232558
277.0,0.9545454545454548,0.8461538461538463,0.8421052631578948,1.0,0.8604651162790697
362.0,0.948863636363637,0.8461538461538463,0.8421052631578948,1.0,0.8604651162790697
370.0,0.943181818181819,0.8205128205128206,0.8157894736842106,1.0,0.8372093023255813
518.0,0.9375000000000001,0.8205128205128206,0.8157894736842106,1.0,0.8139534883720929
533.0,0.9318181818181825,0.8205128205128206,0.8157894736842106,1.0,0.7906976744186048
563.0,0.926136363636364,0.794871794871795,0.7894736842105264,1.0,0.7674418604651163
566.0,0.9204545454545454,0.7692307692307694,0.7631578947368423,1.0,0.7441860465116279
652.0,0.9147727272727277,0.7692307692307694,0.7631578947368423,1.0,0.7441860465116279
748.0,0.9090909090909092,0.7435897435897437,0.7368421052631579,1.0,0.7209302325581396
779.0,0.9034090909090913,0.7435897435897437,0.7368421052631579,1.0,0.7209302325581396
791.0,0.8977272727272732,0.717948717948718,0.7105263157894738,1.0,0.6976744186046513
809.0,0.8920454545454546,0.717948717948718,0.7105263157894738,1.0,0.6976744186046513
845.0,0.8863636363636368,0.717948717948718,0.7105263157894738,1.0,0.6976744186046513
1005.0,0.8806818181818187,0.717948717948718,0.7105263157894738,1.0,0.6976744186046513
1135.0,0.8750000000000007,0.717948717948718,0.7105263157894738,1.0,0.6976744186046513
1369.0,0.869318181818182,0.717948717948718,0.7105263157894738,1.0,0.6976744186046513
1392.0,0.8636363636363641,0.6923076923076924,0.6842105263157896,1.0,0.6976744186046513
1589.0,0.8579545454545457,0.6923076923076924,0.6842105263157896,1.0,0.6976744186046513
1625.0,0.8522727272727274,0.6923076923076924,0.6842105263157896,1.0,0.6976744186046513
1673.0,0.8465909090909095,0.6923076923076924,0.6842105263157896,1.0,0.6976744186046513
1674.0,0.8409090909090909,0.6666666666666669,0.6578947368421052,1.0,0.6976744186046513
1706.0,0.8352272727272728,0.6666666666666669,0.6578947368421052,1.0,0.6976744186046513
1711.0,0.8295454545454548,0.6666666666666669,0.6578947368421052,1.0,0.6976744186046513
1781.0,0.8238636363636366,0.6666666666666669,0.6578947368421052,1.0,0.6744186046511629
1815.0,0.8181818181818186,0.641025641025641,0.6315789473684212,1.0,0.6511627906976744
1851.0,0.8125000000000001,0.641025641025641,0.6315789473684212,1.0,0.6511627906976744
2006.0,0.8068181818181822,0.6153846153846155,0.605263157894737,1.0,0.6511627906976744
2016.0,0.8011363636363641,0.5897435897435898,0.5789473684210528,1.0,0.6511627906976744
2099.0,0.7954545454545454,0.5641025641025643,0.5526315789473685,1.0,0.627906976744186
2223.0,0.7840909090909097,0.5384615384615385,0.5263157894736842,0.9666666666666667,0.6046511627906977
