id,sg,baseline,fitness,pvalue,mean_sg,mean_pop,mean_cpm,size_sg,size_pop,size_cpm
R0,"(cd4=[0.00,17.00))",population,0.999994,0.000006,224.205240,230.183319,231.668113,229,1151,922
R1,(txgrp=1) & (strat2=0),population,1.000000,0.000000,217.351598,230.183319,233.198498,219,1151,932
R2,"(cd4=[0.00,17.00)) & (strat2=0) & (hemophil=0) & (ivdrug=1)",population,0.999998,0.000002,221.005291,230.183319,231.986486,189,1151,962
R3,"(cd4=[148.00,392.00])",population,0.999915,0.000085,228.713675,230.183319,230.558342,234,1151,917
R4,(sex=1) & (txgrp=2),population,0.954024,0.045976,240.880086,230.183319,222.880117,467,1151,684
R5,"(ivdrug=1) & (strat2=0) & (cd4=[0.00,17.00))",population,0.999998,0.000002,220.828283,230.183319,232.126967,198,1151,953
R6,(strat2=0),population,0.999925,0.000075,226.936219,230.183319,232.185393,439,1151,712
R7,(strat2=0) & (ivdrug=1),population,0.999981,0.000019,222.827957,230.183319,233.695764,372,1151,779
R8,(strat2=0) & (hemophil=0) & (ivdrug=1),population,0.999990,0.000010,222.798319,230.183319,233.503778,357,1151,794
R9,"(tx=1) & (age=[35.00,40.00))",population,0.990866,0.009134,246.035971,230.183319,228.005929,139,1151,1012
R10,(karnof=80),population,0.999845,0.000155,216.697802,230.183319,232.716202,182,1151,969
R11,(tx=0) & (strat2=0),population,1.000000,0.000000,216.577273,230.183319,233.398496,220,1151,931
R12,"(cd4=[0.00,17.00)) & (strat2=0)",population,0.999995,0.000005,224.242291,230.183319,231.642857,227,1151,924
R13,(strat2=1),population,0.999538,0.000462,232.185393,230.183319,226.936219,712,1151,439
