times,population,R0,R1,R2,R3,R4,R5
0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
15.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
16.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
17.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
18.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
29.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
42.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
46.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
57.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
63.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
65.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
67.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
71.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
72.0,0.998511904761905,1.0,0.9920634920634924,1.0,1.0,0.9976744186046514,1.0
98.0,0.9970238095238094,0.992805755395684,0.9920634920634924,1.0,0.9936708860759489,0.9953488372093023,1.0
113.0,0.9955357142857146,0.992805755395684,0.9920634920634924,1.0,0.9873417721518987,0.993023255813954,1.0
114.0,0.9955357142857146,0.992805755395684,0.9920634920634924,1.0,0.9873417721518987,0.993023255813954,1.0
120.0,0.9940453913601373,0.9856115107913673,0.9920634920634924,1.0,0.9810126582278481,0.9906976744186053,1.0
148.0,0.9940453913601373,0.9856115107913673,0.9920634920634924,1.0,0.9810126582278481,0.9906976744186053,1.0
160.0,0.9925528307124493,0.9784172661870509,0.9920634920634924,1.0,0.9810126582278481,0.9883666210670318,1.0
168.0,0.9925528307124493,0.9784172661870509,0.9920634920634924,1.0,0.9810126582278481,0.9883666210670318,1.0
169.0,0.9910580222324609,0.9784172661870509,0.9920634920634924,1.0,0.9810126582278481,0.9883666210670318,1.0
171.0,0.9895632137524724,0.9712230215827342,0.9920634920634924,0.9924812030075185,0.9810126582278481,0.9860355677154582,1.0
173.0,0.9880684052724833,0.9712230215827342,0.9920634920634924,0.9924812030075185,0.9810126582278481,0.9837045143638857,1.0
175.0,0.9865735967924949,0.9712230215827342,0.9920634920634924,0.9924812030075185,0.9810126582278481,0.9813734610123119,1.0
177.0,0.9835839798325179,0.9568345323741009,0.9840629800307218,0.9924812030075185,0.9683544303797466,0.9813734610123119,1.0
180.0,0.9820868961493634,0.9496402877697842,0.97599689003047,0.9924812030075185,0.9619836775483007,0.9813734610123119,1.0
181.0,0.980589812466209,0.9496402877697842,0.97599689003047,0.9924812030075185,0.9619836775483007,0.9790368575337111,1.0
184.0,0.979092728783055,0.9424460431654675,0.9679308000302178,0.9924812030075185,0.9619836775483007,0.9790368575337111,1.0
186.0,0.979092728783055,0.9424460431654675,0.9679308000302178,0.9924812030075185,0.9619836775483007,0.9790368575337111,1.0
191.0,0.9775933524755772,0.9424460431654675,0.9679308000302178,0.9924812030075185,0.9619836775483007,0.9767002540551106,0.9972752043596723
195.0,0.9760939761680988,0.9351964582180409,0.9679308000302178,0.9924812030075185,0.9555704530313124,0.9743636505765099,0.9972752043596723
205.0,0.9745922931278407,0.9351964582180409,0.9679308000302178,0.9924812030075185,0.9491572285143233,0.9720214302626237,0.9945429435258101
213.0,0.9745922931278407,0.9351964582180409,0.9679308000302178,0.9924812030075185,0.9491572285143233,0.9720214302626237,0.9945429435258101
223.0,0.9730882926754835,0.9351964582180409,0.9597969277610564,0.9924812030075185,0.9491572285143233,0.969679209948738,0.9918031558025993
227.0,0.9715842922231254,0.9279468732706141,0.9516630554918947,0.9924812030075185,0.9427440039973347,0.969679209948738,0.9918031558025993
229.0,0.9715842922231254,0.9279468732706141,0.9516630554918947,0.9924812030075185,0.9427440039973347,0.969679209948738,0.9918031558025993
233.0,0.9700779599871208,0.9206972883231876,0.9435291832227329,0.9924812030075185,0.9363307794803463,0.9673369896348528,0.9918031558025993
238.0,0.9685716277511154,0.913447703375761,0.9353953109535716,0.9924812030075185,0.9363307794803463,0.9673369896348528,0.9918031558025993
241.0,0.9670652955151108,0.913447703375761,0.9353953109535716,0.9924812030075185,0.9299175549633575,0.9649947693209668,0.9918031558025993
242.0,0.9655589632791058,0.9061981184283348,0.9353953109535716,0.9924812030075185,0.9299175549633575,0.9626525490070803,0.9918031558025993
247.0,0.964052631043101,0.9061981184283348,0.9353953109535716,0.9924812030075185,0.9299175549633575,0.9603103286931952,0.9890557786397116
249.0,0.9625462988070961,0.9061981184283348,0.9272614386844102,0.9924812030075185,0.9299175549633575,0.9579681083793095,0.9890557786397116
251.0,0.9610399665710914,0.8989485334809079,0.9272614386844102,0.9924812030075185,0.923504330446369,0.9556258880654229,0.9890557786397116
272.0,0.9580273020990819,0.8916989485334806,0.9272614386844102,0.9849050106181484,0.923504330446369,0.953283667751537,0.9890557786397116
273.0,0.9580273020990819,0.8916989485334806,0.9272614386844102,0.9849050106181484,0.923504330446369,0.953283667751537,0.9890557786397116
275.0,0.9565185976863272,0.8916989485334806,0.9191275664152488,0.9849050106181484,0.91709110592938,0.953283667751537,0.9890557786397116
276.0,0.9565185976863272,0.8916989485334806,0.9191275664152488,0.9849050106181484,0.91709110592938,0.953283667751537,0.9890557786397116
281.0,0.9534964220222314,0.8844493635860545,0.9191275664152488,0.9849050106181484,0.9106778814123917,0.9485760940836281,0.9890557786397116
285.0,0.9504742463581364,0.8771997786386279,0.9191275664152488,0.9849050106181484,0.9106778814123917,0.9438685204157198,0.9862930530010529
286.0,0.9489631585260879,0.8699501936912009,0.9109210702865413,0.9849050106181484,0.904264656895403,0.9438685204157198,0.9862930530010529
288.0,0.9474520706940404,0.8699501936912009,0.9109210702865413,0.9849050106181484,0.904264656895403,0.941514733581765,0.9862930530010529
293.0,0.945940982861992,0.8627006087437745,0.9027145741578343,0.9849050106181484,0.8978514323784139,0.9391609467478111,0.9862930530010529
296.0,0.945940982861992,0.8627006087437745,0.9027145741578343,0.9849050106181484,0.8978514323784139,0.9391609467478111,0.9862930530010529
305.0,0.9444274772894135,0.8627006087437745,0.9027145741578343,0.9849050106181484,0.8914382078614254,0.9368071599138564,0.9862930530010529
307.0,0.942913971716834,0.855451023796348,0.9027145741578343,0.9849050106181484,0.8850249833444372,0.9344533730799023,0.9862930530010529
308.0,0.9398869605716756,0.855451023796348,0.894432789073818,0.9849050106181484,0.8721985343104599,0.9320995862459477,0.9835225668971175
310.0,0.9398869605716756,0.855451023796348,0.894432789073818,0.9849050106181484,0.8721985343104599,0.9320995862459477,0.9835225668971175
316.0,0.938371013861076,0.8482014388489211,0.894432789073818,0.9849050106181484,0.865785309793471,0.9297398404579832,0.9835225668971175
319.0,0.938371013861076,0.8482014388489211,0.894432789073818,0.9849050106181484,0.865785309793471,0.9297398404579832,0.9835225668971175
322.0,0.938371013861076,0.8482014388489211,0.894432789073818,0.9849050106181484,0.865785309793471,0.9297398404579832,0.9835225668971175
329.0,0.9368501532227268,0.8482014388489211,0.894432789073818,0.9849050106181484,0.865785309793471,0.9273740902278099,0.9807363839880604
