times,population,R0,R1,R2,R3,R4,R5,R6
0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
15.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
16.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
17.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
18.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
29.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
42.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
46.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
57.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
63.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
65.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
67.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
71.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
72.0,0.998511904761905,1.0,0.9920634920634924,1.0,1.0,1.0,1.0,0.9898989898989904
98.0,0.9970238095238094,0.992805755395684,0.9920634920634924,1.0,1.0,1.0,1.0,0.9898989898989904
113.0,0.9955357142857146,0.992805755395684,0.9920634920634924,1.0,1.0,1.0,1.0,0.9797979797979799
114.0,0.9955357142857146,0.992805755395684,0.9920634920634924,1.0,1.0,1.0,1.0,0.9797979797979799
120.0,0.9940453913601373,0.9856115107913673,0.9920634920634924,1.0,1.0,1.0,1.0,0.9797979797979799
148.0,0.9940453913601373,0.9856115107913673,0.9920634920634924,1.0,1.0,1.0,1.0,0.9797979797979799
160.0,0.9925528307124493,0.9784172661870509,0.9920634920634924,1.0,1.0,1.0,1.0,0.9797979797979799
168.0,0.9925528307124493,0.9784172661870509,0.9920634920634924,1.0,1.0,1.0,1.0,0.9797979797979799
169.0,0.9910580222324609,0.9784172661870509,0.9920634920634924,1.0,1.0,0.9958333333333338,1.0,0.9797979797979799
171.0,0.9895632137524724,0.9712230215827342,0.9920634920634924,1.0,1.0,0.9958333333333338,1.0,0.9797979797979799
173.0,0.9880684052724833,0.9712230215827342,0.9920634920634924,1.0,1.0,0.9958333333333338,1.0,0.9696969696969697
175.0,0.9865735967924949,0.9712230215827342,0.9920634920634924,1.0,1.0,0.9958333333333338,1.0,0.9595959595959597
177.0,0.9835839798325179,0.9568345323741009,0.9840629800307218,1.0,0.9814814814814815,0.9875000000000004,1.0,0.9595959595959597
180.0,0.9820868961493634,0.9496402877697842,0.97599689003047,1.0,0.9814814814814815,0.9833333333333338,1.0,0.9595959595959597
181.0,0.980589812466209,0.9496402877697842,0.97599689003047,1.0,0.9814814814814815,0.9833333333333338,1.0,0.9494949494949496
184.0,0.979092728783055,0.9424460431654675,0.9679308000302178,1.0,0.9814814814814815,0.9791666666666667,1.0,0.9494949494949496
186.0,0.979092728783055,0.9424460431654675,0.9679308000302178,1.0,0.9814814814814815,0.9791666666666667,1.0,0.9494949494949496
191.0,0.9775933524755772,0.9424460431654675,0.9679308000302178,0.9972752043596723,0.9814814814814815,0.9791666666666667,1.0,0.9494949494949496
195.0,0.9760939761680988,0.9351964582180409,0.9679308000302178,0.9972752043596723,0.9814814814814815,0.9791666666666667,1.0,0.9494949494949496
205.0,0.9745922931278407,0.9351964582180409,0.9679308000302178,0.9945429435258101,0.9814814814814815,0.9791666666666667,1.0,0.9494949494949496
213.0,0.9745922931278407,0.9351964582180409,0.9679308000302178,0.9945429435258101,0.9814814814814815,0.9791666666666667,1.0,0.9494949494949496
223.0,0.9730882926754835,0.9351964582180409,0.9597969277610564,0.9918031558025993,0.9814814814814815,0.9791666666666667,1.0,0.9494949494949496
227.0,0.9715842922231254,0.9279468732706141,0.9516630554918947,0.9918031558025993,0.9814814814814815,0.9749642346208873,1.0,0.9494949494949496
